universe	number	name
bsd210	1	exit
bsd210	2	fork
bsd210	3	read
bsd210	4	write
bsd210	5	open
bsd210	6	close
bsd210	7	old
bsd210	8	creat
bsd210	9	link
bsd210	10	unlink
bsd210	11	execv
bsd210	12	chdir
bsd210	13	old
bsd210	14	mknod
bsd210	15	chmod
bsd210	17	old
bsd210	18	old
bsd210	19	lseek
bsd210	20	getpid
bsd210	21	mount
bsd210	22	umount
bsd210	23	old
bsd210	24	getuid
bsd210	25	old
bsd210	26	ptrace
bsd210	27	old
bsd210	28	old
bsd210	29	old
bsd210	30	old
bsd210	31	was
bsd210	32	was
bsd210	33	access
bsd210	34	old
bsd210	35	old
bsd210	36	sync
bsd210	37	kill
bsd210	38	stat
bsd210	39	old
bsd210	40	lstat
bsd210	41	dup
bsd210	42	pipe
bsd210	43	old
bsd210	44	profil
bsd210	45	nosys
bsd210	46	old
bsd210	47	getgid
bsd210	48	old
bsd210	49	reserved
bsd210	50	reserved
bsd210	51	turn
bsd210	54	ioctl
bsd210	55	reboot
bsd210	56	old
bsd210	57	symlink
bsd210	58	readlink
bsd210	59	execve
bsd210	60	umask
bsd210	61	chroot
bsd210	62	fstat
bsd210	63	reserved
bsd210	64	getpagesize
bsd210	66	vfork
bsd210	69	sbrk
bsd210	76	vhangup
bsd210	79	getgroups
bsd210	80	setgroups
bsd210	81	getpgrp
bsd210	82	setpgrp
bsd210	83	setitimer
bsd210	84	wait
bsd210	86	getitimer
bsd210	87	gethostname
bsd210	88	sethostname
bsd210	89	getdtablesize
bsd210	90	dup2
bsd210	91	getdopt
bsd210	92	fcntl
bsd210	93	select
bsd210	94	setdopt
bsd210	95	fsync
bsd210	96	setpriority
bsd210	97	socket
bsd210	98	connect
bsd210	99	accept
bsd210	100	getpriority
bsd210	101	send
bsd210	102	recv
bsd210	103	sigreturn
bsd210	104	bind
bsd210	105	setsockopt
bsd210	106	listen
bsd210	108	sigvec
bsd210	109	sigblock
bsd210	110	sigsetmask
bsd210	111	sigpause
bsd210	112	sigstack
bsd210	113	recvmsg
bsd210	114	sendmsg
bsd210	116	gettimeofday
bsd210	117	getrusage
bsd210	118	getsockopt
bsd210	120	readv
bsd210	121	writev
bsd210	122	settimeofday
bsd210	123	fchown
bsd210	124	fchmod
bsd210	125	recvfrom
bsd210	126	setreuid
bsd210	127	setregid
bsd210	128	rename
bsd210	129	truncate
bsd210	130	ftruncate
bsd210	131	flock
bsd210	132	nosys
bsd210	133	sendto
bsd210	134	shutdown
bsd210	135	socketpair
bsd210	136	mkdir
bsd210	137	rmdir
bsd210	138	utimes
bsd210	140	adjtime
bsd210	141	getpeername
bsd210	142	gethostid
bsd210	143	sethostid
bsd210	144	getrlimit
bsd210	145	setrlimit
bsd210	146	killpg
bsd210	147	nosys
bsd210	148	quota
bsd210	149	qquota
bsd210	150	getsockname
bsd210	151	rtp
bsd210	152	nostk
bsd210	153	fetchi
bsd210	154	ucall
bsd210	155	fperr
bsd210	156	gldav
bsd211	1	exit
bsd211	2	fork
bsd211	3	read
bsd211	4	write
bsd211	5	open
bsd211	6	close
bsd211	7	wait4
bsd211	9	link
bsd211	10	unlink
bsd211	11	execv
bsd211	12	chdir
bsd211	13	fchdir
bsd211	14	mknod
bsd211	15	chmod
bsd211	17	chflags
bsd211	18	fchflags
bsd211	19	lseek
bsd211	20	getpid
bsd211	21	mount
bsd211	22	umount
bsd211	23	__sysctl
bsd211	24	getuid
bsd211	25	geteuid
bsd211	26	ptrace
bsd211	27	getppid
bsd211	28	statfs
bsd211	29	fstatfs
bsd211	30	getfsstat
bsd211	31	sigaction
bsd211	32	sigprocmask
bsd211	33	access
bsd211	34	sigpending
bsd211	35	sigaltstack
bsd211	36	sync
bsd211	37	kill
bsd211	38	stat
bsd211	39	getlogin
bsd211	40	lstat
bsd211	41	dup
bsd211	42	pipe
bsd211	43	setlogin
bsd211	44	profil
bsd211	45	setuid
bsd211	46	seteuid
bsd211	47	getgid
bsd211	48	getegid
bsd211	49	setgid
bsd211	50	setegid
bsd211	51	unused
bsd211	54	ioctl
bsd211	55	reboot
bsd211	56	sigwait
bsd211	57	symlink
bsd211	58	readlink
bsd211	59	execve
bsd211	60	umask
bsd211	61	chroot
bsd211	62	fstat
bsd211	63	reserved
bsd211	65	pselect
bsd211	66	vfork
bsd211	67	unused
bsd211	68	unused
bsd211	69	sbrk
bsd211	70	unused
bsd211	71	unused
bsd211	72	unused
bsd211	73	unused
bsd211	74	unused
bsd211	75	unused
bsd211	76	vhangup
bsd211	77	unused
bsd211	78	unused
bsd211	79	getgroups
bsd211	80	setgroups
bsd211	81	getpgrp
bsd211	82	setpgrp
bsd211	83	setitimer
bsd211	85	unused
bsd211	86	getitimer
bsd211	89	getdtablesize
bsd211	90	dup2
bsd211	91	unused
bsd211	92	fcntl
bsd211	93	select
bsd211	94	unused
bsd211	95	fsync
bsd211	96	setpriority
bsd211	97	socket
bsd211	98	connect
bsd211	99	accept
bsd211	100	getpriority
bsd211	101	send
bsd211	102	recv
bsd211	103	sigreturn
bsd211	104	bind
bsd211	105	setsockopt
bsd211	106	listen
bsd211	107	sigsuspend
bsd211	113	recvmsg
bsd211	114	sendmsg
bsd211	115	unused
bsd211	116	gettimeofday
bsd211	117	getrusage
bsd211	118	getsockopt
bsd211	119	unused
bsd211	120	readv
bsd211	121	writev
bsd211	122	settimeofday
bsd211	123	fchown
bsd211	124	fchmod
bsd211	125	recvfrom
bsd211	128	rename
bsd211	129	truncate
bsd211	130	ftruncate
bsd211	131	flock
bsd211	132	nosys
bsd211	133	sendto
bsd211	134	shutdown
bsd211	135	socketpair
bsd211	136	mkdir
bsd211	137	rmdir
bsd211	138	utimes
bsd211	139	unused
bsd211	140	adjtime
bsd211	141	getpeername
bsd211	144	getrlimit
bsd211	145	setrlimit
bsd211	146	killpg
bsd211	147	nosys
bsd211	148	quota
bsd211	149	qquota
bsd211	150	getsockname
bsd211	151	unused
bsd211	152	nostk
bsd211	153	fetchi
bsd211	154	ucall
bsd211	155	fperr
bsd28	0	indir
bsd28	1	exit
bsd28	2	fork
bsd28	3	read
bsd28	4	write
bsd28	5	open
bsd28	6	close
bsd28	7	wait
bsd28	8	creat
bsd28	9	link
bsd28	10	unlink
bsd28	11	exec
bsd28	12	chdir
bsd28	13	time
bsd28	14	mknod
bsd28	15	chmod
bsd28	16	chown
bsd28	17	break
bsd28	18	stat
bsd28	19	lseek
bsd28	20	getpid
bsd28	21	mount
bsd28	22	umount
bsd28	23	setuid
bsd28	24	getuid
bsd28	25	stime
